AdamS_test_err,AdamS_training_err,AdamS_training_loss
0.44699999999999995,0.5399,1.4611343551635743
0.382,0.35162000000000004,0.986894369506836
0.2743,0.27554,0.7843742602729797
0.2782,0.23226000000000002,0.6706472434043884
0.23519999999999996,0.20545999999999998,0.5962313864898682
0.24360000000000004,0.18628,0.5511087284183502
0.2096,0.17291999999999996,0.5093906376838684
0.25070000000000003,0.16413999999999995,0.48102470069885256
0.2218,0.15796,0.4615148773765564
0.17049999999999998,0.14881999999999995,0.4425631844520569
0.17820000000000003,0.14415999999999995,0.42323426384925844
0.16869999999999996,0.13948000000000005,0.4109435200119019
0.16949999999999998,0.13717999999999997,0.40538031740188596
0.19030000000000002,0.137,0.3982902581596375
0.20879999999999999,0.12992000000000004,0.38424061567306517
0.1714,0.12595999999999996,0.3708585534477234
0.17669999999999997,0.12197999999999998,0.3634426442718506
0.18210000000000004,0.11934,0.3515366884803772
0.15610000000000002,0.11773999999999996,0.3456497087430954
0.15949999999999998,0.11373999999999995,0.3344524433708191
0.15190000000000003,0.11229999999999996,0.33136035007476805
0.1714,0.11036000000000001,0.32356560443878174
0.20920000000000005,0.10799999999999998,0.3152647134065628
0.13380000000000003,0.1079,0.314910446023941
0.1856,0.10775999999999997,0.31212606302261353
0.1382,0.10324,0.3006881563186645
0.1441,0.10065999999999997,0.29417772603034975
0.14939999999999998,0.10167999999999999,0.29795700677871706
0.15859999999999996,0.09919999999999995,0.2928244386482239
0.14449999999999996,0.10107999999999995,0.29104716928482055
0.17179999999999995,0.09631999999999996,0.28116136743545533
0.14290000000000003,0.09482000000000002,0.28256690027236936
0.1613,0.09797999999999996,0.2846538787841797
0.1372,0.09716000000000002,0.28033409749507904
0.13470000000000004,0.09219999999999995,0.2725619620132446
0.12229999999999996,0.09277999999999997,0.27513172851085665
0.13590000000000002,0.09411999999999998,0.2724685219669342
0.14980000000000004,0.09443999999999997,0.2755972021961212
0.1432,0.09008000000000005,0.2664825180435181
0.14539999999999997,0.09123999999999999,0.2656005561161041
0.17989999999999995,0.09196000000000004,0.27048025064468384
0.13439999999999996,0.09065999999999996,0.2631942026233673
0.16210000000000002,0.0907,0.2647258683681488
0.13349999999999995,0.08923999999999999,0.2596604043483734
0.13160000000000005,0.08987999999999996,0.26314742730140683
0.13539999999999996,0.08928000000000003,0.2589894111919403
0.14700000000000002,0.08816000000000002,0.2580951726818085
0.1652,0.08860000000000001,0.25855156310081484
0.13849999999999996,0.08762000000000003,0.2562417805337906
0.12439999999999996,0.08782000000000001,0.25394036568164824
0.10860000000000003,0.08782000000000001,0.2543565881729126
0.1331,0.08797999999999995,0.2564675587511063
0.10799999999999998,0.08745999999999998,0.2558996396160126
0.13160000000000005,0.08464000000000005,0.25060670650482175
0.13080000000000003,0.08567999999999998,0.24922068001270295
0.15200000000000002,0.08520000000000005,0.2523972683095932
0.11870000000000003,0.08843999999999996,0.25481368918418884
0.125,0.08457999999999999,0.24560132045269012
0.15369999999999995,0.08597999999999995,0.24886393781661986
0.11980000000000002,0.08409999999999995,0.24357326805114746
0.14229999999999998,0.08577999999999997,0.2507601003360748
0.1683,0.08679999999999999,0.2508033024406433
0.12780000000000002,0.08475999999999995,0.24417382901191712
0.17310000000000003,0.08465999999999996,0.2481166543865204
0.123,0.08226,0.2427219023799896
0.14370000000000005,0.08362000000000003,0.24530910396575928
0.17190000000000005,0.08321999999999996,0.24503217995643617
0.13790000000000002,0.08462000000000003,0.24503873373031615
0.13690000000000002,0.08377999999999997,0.24647290843963623
0.1511,0.08218000000000003,0.24341700937271118
0.14990000000000003,0.08428000000000002,0.24328162014007568
0.18510000000000004,0.08377999999999997,0.24392414999008177
0.13039999999999996,0.08392,0.24250454226017
0.12580000000000002,0.08396000000000003,0.24467464698314667
0.14339999999999997,0.08445999999999998,0.24336704724311828
0.12039999999999995,0.08194000000000001,0.24003824023246764
0.13560000000000005,0.08318000000000003,0.2415086164188385
0.13780000000000003,0.08223999999999998,0.24083060473442078
0.14849999999999997,0.08282,0.24410897218704225
0.12539999999999996,0.08072000000000001,0.23603487604141235
0.06379999999999997,0.03924000000000005,0.11912476259469985
0.06159999999999999,0.025839999999999974,0.08072444460630417
0.06140000000000001,0.021379999999999955,0.06635911526799201
0.06000000000000005,0.018360000000000043,0.05677638954997063
0.06169999999999998,0.01529999999999998,0.04900084033727646
0.06020000000000003,0.014560000000000017,0.043571088347435
0.06230000000000002,0.012399999999999967,0.03897371994972229
0.062100000000000044,0.009939999999999949,0.03189687467753887
0.06230000000000002,0.010800000000000032,0.03175654970765114
0.06130000000000002,0.00871999999999995,0.02804956567645073
0.05920000000000003,0.008700000000000041,0.027925196413397788
0.06140000000000001,0.00770000000000004,0.024378930646181105
0.062100000000000044,0.007160000000000055,0.022944143543839456
0.06230000000000002,0.007140000000000035,0.021322285240888597
0.06010000000000004,0.00653999999999999,0.02018728124499321
0.06420000000000003,0.006240000000000023,0.019761623269021512
0.06000000000000005,0.006099999999999994,0.01834310744792223
0.058499999999999996,0.005800000000000027,0.018280939435958862
0.06110000000000004,0.006160000000000054,0.01870338857039809
0.06299999999999994,0.0050000000000000044,0.015444268273711205
0.06010000000000004,0.005600000000000049,0.018872241100221874
0.06640000000000001,0.005220000000000002,0.016131480673998593
0.06559999999999999,0.005560000000000009,0.016635525140166283
0.06299999999999994,0.00653999999999999,0.019132169136703014
0.06120000000000003,0.006000000000000005,0.017751768343001604
0.06459999999999999,0.005140000000000033,0.015520037875175476
0.061799999999999966,0.00544,0.01632265947505832
0.059599999999999986,0.005059999999999953,0.01543656890437007
0.061899999999999955,0.005240000000000022,0.016648862424641846
0.0655,0.005680000000000018,0.016551705413013696
0.06040000000000001,0.005719999999999947,0.01724289774239063
0.06259999999999999,0.0049200000000000355,0.015825260803699493
0.0595,0.0044199999999999795,0.013551065597608686
0.06559999999999999,0.005800000000000027,0.01733623804986477
0.0655,0.005580000000000029,0.016816399686485527
0.06489999999999996,0.0050200000000000244,0.015867822478711605
0.06640000000000001,0.005580000000000029,0.01684613827958703
0.06430000000000002,0.00539999999999996,0.01675795336961746
0.06440000000000001,0.005140000000000033,0.015531607489436865
0.060699999999999976,0.006179999999999963,0.0182036278963089
0.06289999999999996,0.0048799999999999955,0.015127930924594402
0.0605,0.0043800000000000505,0.013859364139139652
0.06159999999999999,0.005260000000000042,0.017087747754454614
0.06889999999999996,0.0050400000000000444,0.01531526056036353
0.06679999999999997,0.0049200000000000355,0.014913006459027529
0.061799999999999966,0.006340000000000012,0.019204424887150524
0.06410000000000005,0.006639999999999979,0.0190212182302773
0.05840000000000001,0.0044999999999999485,0.014356986964046956
0.06259999999999999,0.005199999999999982,0.01564739130333066
0.07120000000000004,0.005240000000000022,0.016303373662531376
0.061000000000000054,0.006199999999999983,0.019092431196570395
0.06269999999999998,0.005140000000000033,0.01569915830761194
0.06469999999999998,0.005319999999999991,0.016469089273363352
0.06389999999999996,0.00541999999999998,0.016623697373867034
0.06140000000000001,0.005739999999999967,0.018371663255691527
0.06459999999999999,0.005360000000000031,0.015513660599142312
0.06140000000000001,0.0047000000000000375,0.014859667180478573
0.06740000000000002,0.005780000000000007,0.016630201834738255
0.06010000000000004,0.0049599999999999644,0.015528275621831417
0.06730000000000003,0.005619999999999958,0.017329643951579928
0.06699999999999995,0.005360000000000031,0.017495132398158312
0.06389999999999996,0.005140000000000033,0.015347775358110667
0.06889999999999996,0.006279999999999952,0.018899633597508073
0.06020000000000003,0.005220000000000002,0.016133480469584464
0.061899999999999955,0.0048599999999999755,0.015141047266721726
0.06469999999999998,0.005560000000000009,0.01752852654352784
0.06569999999999998,0.006939999999999946,0.020150377536714077
0.05989999999999995,0.0043600000000000305,0.014129708145931364
0.062000000000000055,0.0041799999999999615,0.01327446940407157
0.07799999999999996,0.005580000000000029,0.016625269998759032
0.06620000000000004,0.006839999999999957,0.02016895366832614
0.0685,0.006059999999999954,0.018527150381356477
0.06659999999999999,0.005719999999999947,0.018490407116115094
0.0645,0.0048599999999999755,0.015410307270735502
0.06610000000000005,0.005560000000000009,0.016753647714704275
0.06579999999999997,0.005719999999999947,0.01641511837184429
0.06679999999999997,0.005499999999999949,0.016842866199463607
0.06659999999999999,0.005719999999999947,0.01730944423660636
0.06369999999999998,0.005759999999999987,0.018480253993794323
0.062000000000000055,0.0047800000000000065,0.01456948053702712
0.05569999999999997,0.0024399999999999977,0.008073063966706396
0.05589999999999995,0.0010799999999999699,0.004411281766537577
0.05410000000000004,0.0009599999999999609,0.0037032137753721327
0.05459999999999998,0.0008200000000000429,0.003247833081036806
0.05259999999999998,0.00034000000000000696,0.002289587814286351
0.05379999999999996,0.0005199999999999649,0.002710343362875283
0.053200000000000025,0.0005399999999999849,0.0020810038177482785
0.05130000000000001,0.00027999999999994696,0.0019358677854202687
0.053300000000000014,0.00029999999999996696,0.0016873106380738319
0.05259999999999998,0.00021999999999999797,0.001576949151903391
0.05300000000000005,0.00041999999999997595,0.0019192744481936097
0.05359999999999998,0.00041999999999997595,0.0016744352289661765
0.0534,0.00021999999999999797,0.0014949507070332766
0.052000000000000046,0.000260000000000038,0.0013960755863040685
0.051100000000000034,0.00034000000000000696,0.0015143969438225031
0.05149999999999999,0.00031999999999998696,0.0013905579115822912
0.05159999999999998,7.999999999996898e-05,0.0010419874240644275
0.051100000000000034,0.000160000000000049,0.0011601894979551435
0.05169999999999997,0.000140000000000029,0.0011551938173454254
0.052000000000000046,0.00017999999999995797,0.0010647498747892678
0.051899999999999946,0.00024000000000001798,0.0011617245365679264
0.05130000000000001,0.00019999999999997797,0.0010030255583487451
0.05259999999999998,0.00021999999999999797,0.0010679831404238939
0.05020000000000002,0.000140000000000029,0.001066719267796725
0.051000000000000045,9.999999999998899e-05,0.0008460965384356678
0.05130000000000001,5.999999999994898e-05,0.0007518504516314716
0.052100000000000035,5.999999999994898e-05,0.0007881778092682361
0.053300000000000014,0.00034000000000000696,0.0015569237807020544
0.0524,0.000260000000000038,0.0011026559784635902
0.05269999999999997,9.999999999998899e-05,0.0008536275321152061
0.04959999999999998,0.00017999999999995797,0.0010141372016537935
0.05249999999999999,0.000160000000000049,0.0009310181329213083
0.053200000000000025,7.999999999996898e-05,0.0007842251281812787
0.052000000000000046,7.999999999996898e-05,0.0007359774964954704
0.050899999999999945,5.999999999994898e-05,0.0007403630030341446
0.052100000000000035,7.999999999996898e-05,0.0007786410268582404
0.05269999999999997,5.999999999994898e-05,0.0006864151430688799
0.052200000000000024,0.00017999999999995797,0.0010919133956544102
0.05069999999999997,9.999999999998899e-05,0.0007181027495488524
0.051899999999999946,4.0000000000040004e-05,0.0007743962722923606
